# Messreihen
# Nr,Temp_C,Speed_mm_s,Dauer_s
# 1,200.0,1.16,380.0
#
sample_seq,millis_ms,kraft_N,temperatur,motor_geschwindigkeit,error_flags,sd_write_us,loop_duration_us
0,956816,2.086,200.13,1.16,0,0,51
1,956816,2.086,200.13,1.16,0,0,1
2,956817,2.086,200.13,1.16,0,0,1
3,956866,2.084,200.13,1.16,0,0,3
4,956916,2.057,200.05,1.16,0,0,3
5,956966,2.051,200.05,1.16,0,0,3
6,957016,2.102,200.05,1.16,0,0,2
7,957066,2.141,200.02,1.16,0,0,3
8,957116,2.179,200.02,1.16,0,0,2
9,957166,2.163,200.02,1.16,0,0,3
10,957216,2.113,200.05,1.16,0,0,2
11,957266,2.118,200.05,1.16,0,0,3
12,957316,2.095,200.05,1.16,0,0,2
13,957366,2.066,200.05,1.16,0,0,3
14,957416,2.184,200.05,1.16,0,0,2
15,957466,2.196,200.05,1.16,0,0,3
16,957516,2.102,200.05,1.16,0,0,17
17,957566,2.133,200.02,1.16,0,0,2
18,957616,2.069,200.02,1.16,0,0,3
19,957666,2.048,200.02,1.16,0,0,3
20,957716,2.011,200.02,1.16,0,0,2
21,957766,2.016,200.02,1.16,0,0,7
22,957816,2.104,200.02,1.16,0,0,2
23,957866,2.143,200.02,1.16,0,0,3
24,957916,2.080,200.02,1.16,0,0,2
25,957966,2.077,200.02,1.16,0,0,3
26,958016,2.045,200.02,1.16,0,0,8
27,958066,2.002,199.98,1.16,0,0,3
28,958116,2.068,199.98,1.16,0,0,2
29,958166,2.121,199.98,1.16,0,0,7
30,958216,2.187,200.05,1.16,0,0,2
31,958266,2.218,200.05,1.16,0,0,3
32,958316,2.177,200.05,1.16,0,0,2
33,958366,2.127,200.02,1.16,0,0,3
34,958416,2.085,200.02,1.16,0,0,2
35,958466,2.104,200.02,1.16,0,0,3
36,958516,2.099,200.13,1.16,0,0,13
37,958566,2.033,200.13,1.16,0,0,7
38,958616,2.094,200.13,1.16,0,0,2
39,958666,2.128,200.13,1.16,0,0,3
