# Messreihen
# Nr,Temp_C,Speed_mm_s,Dauer_s
# 1,200.0,1.16,380.0
#
sample_seq,millis_ms,kraft_N,temperatur,motor_geschwindigkeit,error_flags,sd_write_us,loop_duration_us
0,1433916,2.176,199.98,1.16,0,0,21
1,1433916,2.176,199.98,1.16,0,0,1
2,1433916,2.176,199.98,1.16,0,0,1
3,1433966,2.114,199.98,1.16,0,0,3
4,1434016,2.115,199.98,1.16,0,0,5
5,1434066,2.122,199.98,1.16,0,0,3
6,1434116,2.123,200.02,1.16,0,0,2
7,1434166,2.223,200.02,1.16,0,0,3
8,1434216,2.272,200.02,1.16,0,0,2
9,1434266,2.246,199.98,1.16,0,0,3
10,1434316,2.240,199.98,1.16,0,0,3
11,1434366,2.184,199.98,1.16,0,0,3
12,1434416,2.168,199.94,1.16,0,0,3
13,1434466,2.134,199.94,1.16,0,0,3
14,1434516,2.109,199.94,1.16,0,0,3
15,1434566,2.215,199.94,1.16,0,0,3
16,1434616,2.270,200.02,1.16,0,0,3
17,1434666,2.259,200.02,1.16,0,0,3
18,1434716,2.239,200.02,1.16,0,0,3
19,1434766,2.259,200.02,1.16,0,0,3
20,1434816,2.241,200.02,1.16,0,0,2
21,1434866,2.205,200.02,1.16,0,0,3
22,1434916,2.175,199.94,1.16,0,0,3
23,1434966,2.285,199.94,1.16,0,0,3
24,1435016,2.295,199.94,1.16,0,0,3
25,1435066,2.255,200.02,1.16,0,0,3
26,1435116,2.267,200.02,1.16,0,0,3
27,1435166,2.196,200.02,1.16,0,0,3
28,1435216,2.120,200.02,1.16,0,0,3
29,1435266,2.085,199.94,1.16,0,0,3
30,1435316,2.090,199.94,1.16,0,0,3
31,1435366,2.176,199.94,1.16,0,0,3
32,1435416,2.194,200.05,1.16,0,0,3
33,1435466,2.154,200.05,1.16,0,0,3
34,1435516,2.157,200.05,1.16,0,0,2
35,1435566,2.137,200.05,1.16,0,0,3
36,1435616,2.144,200.05,1.16,0,0,3
37,1435666,2.194,200.05,1.16,0,0,3
38,1435716,2.201,200.02,1.16,0,0,3
39,1435766,2.272,200.02,1.16,0,0,2
40,1435816,2.373,200.02,1.16,0,0,3
41,1435866,2.309,200.02,1.16,0,0,3
42,1435916,2.243,199.98,1.16,0,0,3
43,1435966,2.207,199.98,1.16,0,0,3
44,1436016,2.186,199.98,1.16,0,0,3
45,1436066,2.205,199.98,1.16,0,0,3
46,1436116,2.201,199.98,1.16,0,0,3
47,1436166,2.226,199.98,1.16,0,0,3
48,1436216,2.245,199.98,1.16,0,0,3
49,1436266,2.176,199.98,1.16,0,0,3
50,1436316,2.244,199.98,1.16,0,0,3
51,1436366,2.279,200.02,1.16,0,0,3
52,1436416,2.201,200.02,1.16,0,0,3
53,1436466,2.215,200.02,1.16,0,0,3
54,1436516,2.330,200.02,1.16,0,0,3
55,1436566,2.322,199.94,1.16,0,0,3
56,1436616,2.259,199.94,1.16,0,0,3
57,1436666,2.181,199.94,1.16,0,0,3
58,1436716,2.177,199.98,1.16,0,0,3
59,1436766,2.237,199.98,1.16,0,0,3
60,1436816,2.155,199.98,1.16,0,0,3
61,1436866,2.161,199.98,1.16,0,0,3
62,1436916,2.240,199.98,1.16,0,0,3
63,1436966,2.342,199.98,1.16,0,0,3
64,1437016,2.441,200.02,1.16,0,0,3
65,1437066,2.396,200.02,1.16,0,0,3
66,1437116,2.295,200.02,1.16,0,0,3
67,1437166,2.304,200.02,1.16,0,0,3
68,1437216,2.307,200.05,1.16,0,0,2
69,1437266,2.244,200.05,1.16,0,0,3
70,1437316,2.269,200.05,1.16,0,0,3
71,1437366,2.277,200.02,1.16,0,0,3
72,1437416,2.332,200.02,1.16,0,21677,2
73,1437466,2.356,200.02,1.16,0,0,3
74,1437516,2.258,200.02,1.16,0,0,3
75,1437566,2.244,200.02,1.16,0,0,3
76,1437616,2.145,200.02,1.16,0,0,3
77,1437666,2.150,200.02,1.16,0,0,2
78,1437716,2.269,200.02,1.16,0,0,3
79,1437766,2.301,200.02,1.16,0,0,2
80,1437816,2.252,200.02,1.16,0,0,3
81,1437866,2.280,200.09,1.16,0,0,2
82,1437916,2.257,200.09,1.16,0,0,3
83,1437966,2.175,200.09,1.16,0,0,3
84,1438016,2.165,199.98,1.16,0,0,3
85,1438066,2.209,199.98,1.16,0,0,2
86,1438116,2.352,199.98,1.16,0,0,2
87,1438166,2.339,200.05,1.16,0,0,7
88,1438216,2.273,200.05,1.16,0,0,3
89,1438266,2.260,200.05,1.16,0,0,3
90,1438316,2.214,200.05,1.16,0,0,3
91,1438366,2.240,200.05,1.16,0,0,3
92,1438416,2.316,200.05,1.16,0,0,3
93,1438466,2.335,200.05,1.16,0,0,3
94,1438516,2.353,200.05,1.16,0,0,3
95,1438566,2.456,200.05,1.16,0,0,6
96,1438616,2.335,200.05,1.16,0,0,7
97,1438666,2.237,200.05,1.16,0,0,5
98,1438716,2.234,200.05,1.16,0,0,3
99,1438766,2.162,200.05,1.16,0,0,3
100,1438816,2.202,200.05,1.16,0,0,7
101,1438866,2.226,200.05,1.16,0,0,2
102,1438916,2.252,200.05,1.16,0,0,6
103,1438966,2.282,200.05,1.16,0,0,7
104,1439016,2.214,200.09,1.16,0,0,5
105,1439066,2.255,200.09,1.16,0,0,3
106,1439116,2.353,200.09,1.16,0,0,7
107,1439166,2.243,199.94,1.16,0,0,5
108,1439216,2.163,199.94,1.16,0,0,7
109,1439266,2.342,199.94,1.16,0,0,3
110,1439316,2.341,200.05,1.16,0,0,5
111,1439366,2.272,200.05,1.16,0,0,7
112,1439416,2.237,200.05,1.16,0,0,3
113,1439466,2.213,199.98,1.16,0,0,3
114,1439516,2.284,199.98,1.16,0,0,3
115,1439566,2.255,199.98,1.16,0,0,3
116,1439616,2.216,199.98,1.16,0,0,3
117,1439666,2.303,200.05,1.16,0,0,3
118,1439716,2.256,200.05,1.16,0,0,3
119,1439766,2.282,200.05,1.16,0,0,7
120,1439816,2.399,200.05,1.16,0,0,3
121,1439866,2.336,200.05,1.16,0,0,3
122,1439916,2.220,200.05,1.16,0,0,3
123,1439966,2.269,199.94,1.16,0,0,3
124,1440016,2.302,199.94,1.16,0,0,2
125,1440066,2.262,199.94,1.16,0,0,3
126,1440116,2.233,200.02,1.16,0,0,3
127,1440166,2.191,200.02,1.16,0,0,7
128,1440216,2.204,200.02,1.16,0,0,3
129,1440266,2.228,200.02,1.16,0,0,3
130,1440316,2.209,200.02,1.16,0,0,3
131,1440366,2.229,200.02,1.16,0,0,3
132,1440416,2.225,200.02,1.16,0,0,3
133,1440466,2.342,200.09,1.16,0,0,3
134,1440516,2.472,200.09,1.16,0,0,3
135,1440566,2.434,200.09,1.16,0,0,6
136,1440616,2.320,200.05,1.16,0,0,2
137,1440666,2.345,200.05,1.16,0,0,3
138,1440716,2.271,200.05,1.16,0,0,2
139,1440766,2.143,200.02,1.16,0,0,3
140,1440816,2.208,200.02,1.16,0,0,3
141,1440866,2.274,200.02,1.16,0,0,3
142,1440916,2.342,200.02,1.16,0,0,2
143,1440966,2.312,200.09,1.16,0,0,7
144,1441016,2.317,200.09,1.16,0,0,3
145,1441066,2.299,200.09,1.16,0,0,3
146,1441116,2.196,200.09,1.16,0,0,3
147,1441166,2.146,200.09,1.16,0,0,10
148,1441216,2.339,200.09,1.16,0,0,7
149,1441266,2.408,200.02,1.16,0,0,5
150,1441316,2.347,200.02,1.16,0,0,3
151,1441366,2.317,200.02,1.16,0,0,10
152,1441416,2.218,200.05,1.16,0,0,5
153,1441466,2.186,200.05,1.16,0,0,10
154,1441516,2.207,200.05,1.16,0,0,7
155,1441566,2.182,200.05,1.16,0,0,10
156,1441616,2.250,200.09,1.16,0,0,9
157,1441666,2.290,200.09,1.16,0,0,3
158,1441716,2.315,200.09,1.16,0,0,3
159,1441766,2.320,200.13,1.16,0,0,11
160,1441816,2.233,200.13,1.16,0,0,7
161,1441866,2.244,200.13,1.16,0,0,11
162,1441916,2.336,199.98,1.16,0,0,5
163,1441966,2.300,199.98,1.16,0,0,11
164,1442016,2.316,199.98,1.16,0,0,7
165,1442066,2.427,199.98,1.16,0,0,10
166,1442116,2.300,200.02,1.16,0,0,5
167,1442166,2.250,200.02,1.16,0,0,9
168,1442216,2.260,200.02,1.16,0,0,7
169,1442266,2.193,200.02,1.16,0,0,5
170,1442316,2.220,200.02,1.16,0,0,7
171,1442366,2.175,200.02,1.16,0,0,7
172,1442416,2.230,199.98,1.16,0,19245,5
173,1442466,2.323,199.98,1.16,0,0,3
174,1442516,2.250,199.98,1.16,0,0,7
175,1442566,2.239,199.94,1.16,0,0,11
176,1442616,2.293,199.94,1.16,0,0,3
177,1442666,2.218,199.94,1.16,0,0,3
178,1442716,2.198,199.94,1.16,0,0,7
179,1442766,2.270,200.05,1.16,0,0,5
180,1442816,2.269,200.05,1.16,0,0,7
181,1442866,2.291,200.05,1.16,0,0,7
182,1442916,2.288,199.98,1.16,0,0,7
183,1442966,2.256,199.98,1.16,0,0,7
184,1443016,2.268,199.98,1.16,0,0,7
185,1443066,2.195,200.13,1.16,0,0,5
186,1443116,2.212,200.13,1.16,0,0,7
187,1443166,2.270,200.13,1.16,0,0,7
188,1443216,2.293,200.09,1.16,0,0,7
189,1443266,2.345,200.09,1.16,0,0,7
190,1443316,2.379,200.09,1.16,0,0,3
191,1443366,2.291,200.09,1.16,0,0,7
192,1443416,2.215,199.98,1.16,0,0,12
193,1443466,2.224,199.98,1.16,0,0,3
194,1443516,2.197,199.98,1.16,0,0,7
195,1443566,2.208,200.09,1.16,0,0,5
196,1443616,2.261,200.09,1.16,0,0,6
197,1443666,2.314,200.09,1.16,0,0,11
198,1443716,2.265,200.05,1.16,0,0,5
199,1443766,2.215,200.05,1.16,0,0,11
200,1443816,2.223,200.05,1.16,0,0,3
201,1443866,2.229,200.09,1.16,0,0,5
202,1443916,2.210,200.09,1.16,0,0,3
203,1443966,2.296,200.09,1.16,0,0,3
204,1444016,2.389,200.09,1.16,0,0,3
205,1444066,2.326,200.05,1.16,0,0,2
206,1444116,2.305,200.05,1.16,0,0,3
207,1444166,2.315,200.05,1.16,0,0,7
208,1444216,2.259,200.02,1.16,0,0,3
209,1444266,2.237,200.02,1.16,0,0,2
210,1444316,2.259,200.02,1.16,0,0,3
211,1444366,2.327,199.98,1.16,0,0,3
212,1444416,2.325,199.98,1.16,0,0,3
213,1444466,2.254,199.98,1.16,0,0,3
214,1444516,2.240,200.05,1.16,0,0,3
215,1444566,2.188,200.05,1.16,0,0,7
216,1444616,2.151,200.05,1.16,0,0,3
217,1444666,2.156,200.05,1.16,0,0,3
218,1444716,2.215,199.94,1.16,0,0,3
219,1444766,2.247,199.94,1.16,0,0,3
220,1444816,2.261,199.94,1.16,0,0,3
221,1444866,2.283,199.94,1.16,0,0,3
222,1444916,2.242,199.94,1.16,0,0,3
223,1444966,2.178,199.94,1.16,0,0,7
224,1445016,2.200,200.02,1.16,0,0,3
225,1445066,2.167,200.02,1.16,0,0,2
226,1445116,2.215,200.02,1.16,0,0,3
227,1445166,2.305,200.05,1.16,0,0,3
228,1445216,2.304,200.05,1.16,0,0,3
229,1445266,2.292,200.05,1.16,0,0,3
230,1445316,2.279,200.05,1.16,0,0,3
231,1445366,2.322,200.09,1.16,0,0,7
232,1445416,2.261,200.09,1.16,0,0,3
233,1445466,2.180,200.09,1.16,0,0,3
234,1445516,2.243,200.02,1.16,0,0,2
235,1445566,2.318,200.02,1.16,0,0,3
236,1445616,2.313,200.02,1.16,0,0,3
237,1445666,2.289,200.05,1.16,0,0,3
238,1445716,2.220,200.05,1.16,0,0,2
239,1445766,2.189,200.05,1.16,0,0,9
240,1445816,2.172,200.02,1.16,0,0,2
